,GameID,Date,Year,Home,Away,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Home_PTS,Away_FG,Away_FGA,Away_FG%,Away_3P,Away_3PA,Away_3P%,Away_FT,Away_FTA,Away_FT%,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Away_PTS,W_L,PT_Diff
42,CHAUTA1997-07-16,1997-07-16,1997,CHA,UTA,26,56,0.4642857142857143,5,12,0.4166666666666667,18,29,0.6206896551724138,12.0,24.0,36,20.0,5,3.0,15.0,13.0,75,23,63,0.36507936507936506,5,11,0.45454545454545453,12,16,0.75,11.0,16.0,27,16.0,10,5.0,16.0,25.0,63,W,12
43,LASHOU1997-07-16,1997-07-16,1997,LAS,HOU,30,73,0.410958904109589,2,6,0.3333333333333333,15,27,0.5555555555555556,19.0,31.0,50,23.0,12,8.0,19.0,17.0,77,18,61,0.29508196721311475,1,19,0.05263157894736842,15,18,0.8333333333333334,9.0,20.0,29,12.0,10,2.0,22.0,24.0,52,W,25
44,PHOSAC1997-07-16,1997-07-16,1997,PHO,SAC,26,70,0.37142857142857144,8,20,0.4,24,35,0.6857142857142857,19.0,16.0,35,13.0,12,1.0,11.0,16.0,84,27,60,0.45,1,10,0.1,12,15,0.8,13.0,23.0,36,13.0,8,3.0,22.0,25.0,67,W,17
45,CLECHA1997-07-17,1997-07-17,1997,CLE,CHA,26,64,0.40625,1,5,0.2,12,14,0.8571428571428571,14.0,24.0,38,18.0,12,4.0,14.0,17.0,65,16,52,0.3076923076923077,2,8,0.25,13,18,0.7222222222222222,9.0,17.0,26,13.0,6,4.0,18.0,16.0,47,W,18
46,NYLUTA1997-07-17,1997-07-17,1997,NYL,UTA,32,70,0.45714285714285713,2,13,0.15384615384615385,14,27,0.5185185185185185,16.0,18.0,34,21.0,12,5.0,15.0,15.0,80,22,53,0.41509433962264153,2,10,0.2,8,11,0.7272727272727273,11.0,20.0,31,13.0,8,5.0,31.0,25.0,54,W,26
47,SACHOU1997-07-18,1997-07-18,1997,SAC,HOU,18,45,0.4,0,9,0.0,24,32,0.75,5.0,14.0,19,17.0,5,1.0,15.0,23.0,60,26,60,0.43333333333333335,9,17,0.5294117647058824,21,30,0.7,15.0,20.0,35,18.0,12,2.0,13.0,25.0,82,L,-22
48,CLEUTA1997-07-19,1997-07-19,1997,CLE,UTA,36,63,0.5714285714285714,3,9,0.3333333333333333,20,28,0.7142857142857143,12.0,25.0,37,28.0,9,4.0,15.0,12.0,95,25,66,0.3787878787878788,6,14,0.42857142857142855,12,13,0.9230769230769231,11.0,11.0,22,15.0,9,1.0,14.0,25.0,68,W,27
49,NYLLAS1997-07-19,1997-07-19,1997,NYL,LAS,24,58,0.41379310344827586,4,8,0.5,17,23,0.7391304347826086,13.0,23.0,36,15.0,13,3.0,21.0,16.0,69,25,64,0.390625,2,9,0.2222222222222222,5,9,0.5555555555555556,9.0,18.0,27,14.0,7,1.0,22.0,21.0,57,W,12
50,CHALAS1997-07-21,1997-07-21,1997,CHA,LAS,25,54,0.46296296296296297,8,17,0.47058823529411764,17,21,0.8095238095238095,7.0,24.0,31,20.0,10,3.0,21.0,20.0,75,21,59,0.3559322033898305,3,13,0.23076923076923078,19,27,0.7037037037037037,13.0,17.0,30,13.0,11,1.0,18.0,20.0,64,W,11
51,SACPHO1997-07-21,1997-07-21,1997,SAC,PHO,25,58,0.43103448275862066,0,12,0.0,7,14,0.5,12.0,23.0,35,15.0,9,4.0,25.0,23.0,57,24,55,0.43636363636363634,1,12,0.08333333333333333,21,27,0.7777777777777778,10.0,22.0,32,17.0,17,4.0,19.0,18.0,70,L,-13
52,NYLUTA1997-07-22,1997-07-22,1997,NYL,UTA,26,64,0.40625,3,14,0.21428571428571427,16,21,0.7619047619047619,8.0,23.0,31,21.0,7,5.0,11.0,19.0,71,26,59,0.4406779661016949,8,13,0.6153846153846154,18,22,0.8181818181818182,10.0,24.0,34,17.0,8,6.0,11.0,18.0,78,L,-7
53,PHOHOU1997-07-22,1997-07-22,1997,PHO,HOU,23,60,0.38333333333333336,7,15,0.4666666666666667,16,20,0.8,9.0,18.0,27,16.0,12,1.0,17.0,20.0,69,22,48,0.4583333333333333,12,17,0.7058823529411765,21,22,0.9545454545454546,4.0,21.0,25,17.0,8,3.0,19.0,18.0,77,L,-8
54,CHANYL1997-07-23,1997-07-23,1997,CHA,NYL,24,62,0.3870967741935484,4,17,0.23529411764705882,11,13,0.8461538461538461,17.0,18.0,35,15.0,10,1.0,15.0,18.0,63,23,43,0.5348837209302325,5,8,0.625,14,19,0.7368421052631579,2.0,15.0,17,18.0,7,3.0,18.0,16.0,65,L,-2
55,LASCLE1997-07-23,1997-07-23,1997,LAS,CLE,35,65,0.5384615384615384,3,10,0.3,12,14,0.8571428571428571,11.0,20.0,31,23.0,10,3.0,19.0,24.0,85,32,54,0.5925925925925926,2,4,0.5,23,32,0.71875,6.0,20.0,26,22.0,12,1.0,18.0,16.0,89,L,-4
56,PHOLAS1997-07-25,1997-07-25,1997,PHO,LAS,23,63,0.36507936507936506,4,14,0.2857142857142857,33,37,0.8918918918918919,9.0,27.0,36,16.0,5,4.0,19.0,26.0,83,33,75,0.44,3,10,0.3,17,28,0.6071428571428571,15.0,18.0,33,17.0,9,5.0,17.0,33.0,86,L,-3
57,SACHOU1997-07-25,1997-07-25,1997,SAC,HOU,31,65,0.47692307692307695,2,8,0.25,12,14,0.8571428571428571,12.0,21.0,33,18.0,7,1.0,21.0,19.0,76,31,60,0.5166666666666667,12,17,0.7058823529411765,12,20,0.6,10.0,18.0,28,18.0,10,2.0,18.0,19.0,86,L,-10
58,NYLCHA1997-07-26,1997-07-26,1997,NYL,CHA,23,75,0.30666666666666664,3,14,0.21428571428571427,12,23,0.5217391304347826,20.0,15.0,35,12.0,13,0.0,16.0,19.0,61,24,49,0.4897959183673469,4,13,0.3076923076923077,12,16,0.75,8.0,32.0,40,17.0,9,1.0,28.0,18.0,64,L,-3
59,UTACLE1997-07-26,1997-07-26,1997,UTA,CLE,22,66,0.3333333333333333,7,19,0.3684210526315789,15,24,0.625,15.0,21.0,36,13.0,8,7.0,13.0,23.0,66,27,60,0.45,2,6,0.3333333333333333,21,29,0.7241379310344828,12.0,28.0,40,15.0,7,3.0,11.0,19.0,77,L,-11
60,SACLAS1997-07-27,1997-07-27,1997,SAC,LAS,22,77,0.2857142857142857,0,10,0.0,18,24,0.75,14.0,19.0,33,10.0,9,1.0,11.0,19.0,62,33,70,0.4714285714285714,2,6,0.3333333333333333,16,22,0.7272727272727273,12.0,38.0,50,23.0,3,9.0,16.0,22.0,84,L,-22
61,PHOCLE1997-07-28,1997-07-28,1997,PHO,CLE,23,63,0.36507936507936506,5,16,0.3125,13,18,0.7222222222222222,6.0,19.0,25,12.0,12,2.0,15.0,22.0,64,27,56,0.48214285714285715,3,5,0.6,19,25,0.76,7.0,28.0,35,17.0,10,2.0,16.0,18.0,76,L,-12
62,HOUCLE1997-07-29,1997-07-29,1997,HOU,CLE,24,64,0.375,6,26,0.23076923076923078,10,14,0.7142857142857143,13.0,17.0,30,15.0,11,0.0,19.0,20.0,64,26,50,0.52,4,6,0.6666666666666666,17,27,0.6296296296296297,6.0,26.0,32,19.0,11,3.0,23.0,15.0,73,L,-9
63,CHAPHO1997-07-30,1997-07-30,1997,CHA,PHO,23,56,0.4107142857142857,2,10,0.2,20,29,0.6896551724137931,16.0,28.0,44,15.0,6,5.0,22.0,15.0,68,26,69,0.37681159420289856,5,18,0.2777777777777778,10,14,0.7142857142857143,13.0,16.0,29,13.0,13,2.0,14.0,23.0,67,W,1
64,LASUTA1997-07-30,1997-07-30,1997,LAS,UTA,35,74,0.47297297297297297,3,12,0.25,18,28,0.6428571428571429,17.0,25.0,42,21.0,11,7.0,17.0,14.0,91,26,70,0.37142857142857144,5,14,0.35714285714285715,12,18,0.6666666666666666,15.0,17.0,32,18.0,9,3.0,19.0,23.0,69,W,22
65,NYLSAC1997-07-30,1997-07-30,1997,NYL,SAC,29,69,0.42028985507246375,4,11,0.36363636363636365,11,15,0.7333333333333333,14.0,24.0,38,20.0,8,8.0,16.0,15.0,73,25,71,0.352112676056338,6,16,0.375,12,15,0.8,16.0,23.0,39,10.0,8,3.0,21.0,22.0,68,W,5
66,CLEPHO1997-07-31,1997-07-31,1997,CLE,PHO,31,60,0.5166666666666667,3,8,0.375,14,18,0.7777777777777778,7.0,20.0,27,21.0,11,5.0,22.0,19.0,79,25,71,0.352112676056338,5,13,0.38461538461538464,12,19,0.631578947368421,23.0,13.0,36,13.0,18,6.0,23.0,21.0,67,W,12
67,CHASAC1997-08-01,1997-08-01,1997,CHA,SAC,33,71,0.4647887323943662,3,14,0.21428571428571427,16,26,0.6153846153846154,14.0,22.0,36,25.0,12,7.0,8.0,13.0,85,21,55,0.38181818181818183,4,9,0.4444444444444444,15,20,0.75,8.0,27.0,35,8.0,4,1.0,19.0,21.0,61,W,24
68,LASHOU1997-08-01,1997-08-01,1997,LAS,HOU,21,55,0.38181818181818183,0,9,0.0,15,20,0.75,6.0,20.0,26,9.0,5,4.0,17.0,24.0,57,24,61,0.39344262295081966,6,19,0.3157894736842105,27,29,0.9310344827586207,13.0,25.0,38,13.0,12,0.0,13.0,20.0,81,L,-24
69,CLESAC1997-08-02,1997-08-02,1997,CLE,SAC,26,62,0.41935483870967744,3,3,1.0,17,23,0.7391304347826086,13.0,32.0,45,17.0,11,6.0,21.0,15.0,72,18,62,0.2903225806451613,4,11,0.36363636363636365,11,16,0.6875,13.0,19.0,32,11.0,12,1.0,19.0,25.0,51,W,21
70,NYLPHO1997-08-02,1997-08-02,1997,NYL,PHO,29,63,0.4603174603174603,2,15,0.13333333333333333,20,34,0.5882352941176471,16.0,22.0,38,22.0,16,8.0,18.0,15.0,80,26,75,0.3466666666666667,8,17,0.47058823529411764,10,11,0.9090909090909091,19.0,21.0,40,13.0,10,5.0,23.0,28.0,70,W,10
71,UTAHOU1997-08-02,1997-08-02,1997,UTA,HOU,25,52,0.4807692307692308,6,12,0.5,18,20,0.9,13.0,22.0,35,15.0,12,2.0,23.0,15.0,74,21,55,0.38181818181818183,9,27,0.3333333333333333,12,14,0.8571428571428571,7.0,14.0,21,13.0,12,1.0,22.0,20.0,63,W,11
